55,Negative,No matter how hard I try nothing seems to work.
56,Negative,The weather is miserable and gloomy.
57,Negative,That movie was a complete waste of time.
58,Negative,The internet connection keeps dropping.
59,Negative,Dealing with rude people is so frustrating.
60,Negative,I didn't get enough sleep last night.
61,Negative,My workload is overwhelming.
62,Negative,The customer service was terrible.
63,Negative,Nothing ever goes as planned.
64,Negative,This task is taking forever to complete.
65,Negative,That joke was offensive and unnecessary.
66,Negative,It’s disappointing when people don’t keep their promises.
67,Negative,Being stuck in a long line is annoying.
68,Negative,This software is full of bugs.
69,Negative,The room is too hot and uncomfortable.
70,Negative,It’s frustrating when people don’t listen.
71,Negative,That was an embarrassing mistake.
72,Negative,The constant noise is giving me a headache.
73,Negative,I hate waking up early.
74,Negative,The economy is getting worse every day.
75,Negative,The lack of communication is making things difficult.
76,Negative,Some people just don’t respect personal space.
77,Negative,This coffee tastes burnt.
78,Negative,That was a rude and unnecessary comment.
79,Negative,Everything feels so stressful right now.
80,Negative,People are too quick to judge.
81,Negative,It’s hard to stay motivated when progress is slow.
82,Negative,Nothing ever changes for the better.
83,Negative,The movie’s plot made no sense at all.
84,Negative,It’s so frustrating when technology fails.
85,Negative,That was a terrible decision.
86,Negative,Cold calls are the worst.
87,Negative,The commute is draining all my energy.
88,Negative,That plan completely fell apart.
89,Negative,I regret wasting time on that.
90,Negative,The service at that place is awful.
91,Negative,Why does everything break when I need it most?
92,Negative,That was the worst experience ever.
93,Negative,It’s exhausting having to repeat myself all the time.
94,Negative,My schedule is packed, and I have no free time.
95,Negative,The mess in here is overwhelming.
96,Negative,It’s frustrating when people don’t follow instructions.
97,Negative,That event was completely disorganized.
98,Negative,People are too impatient these days.
99,Negative,This project is way behind schedule.
100,Negative,Some days just feel like a complete disaster.
101,Neutral,The sun rises in the east.
102,Neutral,I have a meeting scheduled at noon.
103,Neutral,Water freezes at 0 degrees Celsius.
104,Neutral,The book is on the table.
105,Neutral,She lives in a small apartment.
106,Neutral,I took the bus to work today.
107,Neutral,This pen is out of ink.
108,Neutral,The sky is partly cloudy.
109,Neutral,I saw a squirrel in the park.
110,Neutral,The store opens at 9 AM.
111,Neutral,There are seven continents on Earth.
112,Neutral,The car needs more fuel.
113,Neutral,The clock shows 3:15 PM.
114,Neutral,The battery level is at 50%.
115,Neutral,He ordered a sandwich for lunch.
116,Neutral,The library has many books.
117,Neutral,This room has three windows.
118,Neutral,The train arrives every 15 minutes.
119,Neutral,She was born in the month of May.
120,Neutral,There are four seasons in a year.
121,Neutral,The WiFi signal is strong here.
122,Neutral,My phone needs to be charged.
123,Neutral,That shirt is made of cotton.
124,Neutral,The road is under construction.
125,Neutral,I bought groceries yesterday.
126,Neutral,The document is saved on my laptop.
127,Neutral,The chair is made of wood.
128,Neutral,This bridge was built in 1980.
129,Neutral,The TV remote is missing.
130,Neutral,The doorbell just rang.
131,Neutral,He is 25 years old.
132,Neutral,The water feels lukewarm.
133,Neutral,That house has a red roof.
134,Neutral,The meeting lasted two hours.
135,Neutral,The bus stop is five blocks away.
136,Neutral,The sign says No Entry.
137,Neutral,The painting is hanging on the wall.
138,Neutral,That bag weighs five pounds.
139,Neutral,The dog barked at the mailman.
140,Neutral,It takes 30 minutes to cook pasta.
141,Neutral,This email contains an attachment.
142,Neutral,The floor is made of marble.
143,Neutral,There is a crack in the sidewalk.
144,Neutral,The printer ran out of paper.
145,Neutral,The lights turned green.
146,Neutral,There is a bee near the window.
147,Neutral,The heater is turned on.
148,Neutral,That building has ten floors.
149,Neutral,The flight landed on time.
150,Neutral,The lamp is turned off.
